utt_id,audio_path,reference,Accent,Age,Gender,Background,Sentiment,District,State,Other,audio_drive_id,audio_filename
13-00073-02,./Audio/13-00073-02.mp3,बिजली की समस्या ऐसी जूझ रहा है ज्यादा गर्मी पद जाने ज्यादा बारिश आ जाने या तेज हवा होने की और इस समस्या का हल निकालते निकालते,,Adult,Male,,,,,audio_jump,1-rF57uInuVv-inkEW5d7b-jxac1URgvZ,13-00073-02.mp3
13-00073-03,./Audio/13-00073-03.mp3,पी जी जी विनामंकन प्रक्रिया की जानकारी दी हैं ललिथ नारायण मिथिला विश्वविद्द्यालय ने पी जी जी नामांकन की प्रक्रिया शुरू हो गए है नामांकन के लिए,,Adult,Male,,,,,,1tcK9GwFwHMuMo7LLlNFwgEhvljKMPfnp,13-00073-03.mp3
13-00073-01,./Audio/13-00073-01.mp3,के लिए पचीस जुलाई के बाद विश्वविद्यालय के वेबसाइट ऐसी परवेश पात्र डाउनलोड कर सकते हैं बिहार राज्य के मधुवनी जिला ऐसी रामानंद जी,,Adult,Male,,,,,,1qzy9iRUdJCx4uvjajkY5ofhiSdjoXR1N,13-00073-01.mp3
13-00076-02,./Audio/13-00076-02.mp3,बिहार राज्य के मधुबनी जिला से मनोज कर्नल ने मोबाइल वाणी के माध्यम ऐसी बताया की सुरक्षा कर्मियों ने तीन बोरियोंसे भरे,Bihari,,Female,,Serious,,Bihar,,1xUWMtUXsNpz8MCZw6STmx1PQ0zIIrotF,13-00076-02.mp3
13-00077-01,./Audio/13-00077-01.mp3,जुड़ हुए हैं और जिनके लिए भेजी जानी थी नहीं भेजी गयी हैं जिससे किसानों को कांटा का सामना करना पड़ रहा हैं अब वो किसान अब आंदोलन के,Bihari,Adult,Female,,Sad,,Bihar,audio_jump,1NLyDpsMD_xHG1FdppoKwtcOFjHoEQLhx,13-00077-01.mp3
13-00077-02,./Audio/13-00077-02.mp3,और ऐसे ही बड़ी खबरों के लिए सुनते रहे मधुवनी मोबाइल वाणी धन्यवाद,,Adult,Female,,,Madhubani,Bihar,,1vHapIi3vVtG3b6CxL2HxOZ7V53JsRgnG,13-00077-02.mp3
13-00086-01,./Audio/13-00086-01.mp3,नमस्कार आदाब श्रोताओ मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हुँ दोपहर की सुर्खियाँ,,Adult,Female,,Serious,,,,1Sg39AyEin-gafMT7-Lel1Qo8veENtlJ2,13-00086-01.mp3
13-00086-02,./Audio/13-00086-02.mp3,MUSIC वौइस् पैसे की राहत दी हैं अबतक किसानों को छिया नब्बे पैसे प्रति यूनिट बिल ट्रैक मैन वो असिस्टेंट लोको पायलट बन सकेंगी टी टी इ भारतीय रेलवे में काम,,,Female,,,,,,1F639xvYWzwxIwJqHx1X66P2K3bSBqiHt,13-00086-02.mp3
13-00085-01,./Audio/13-00085-01.mp3,लोहानी तोहफा दिया हैं अब ट्रैक मैन वो आस केंगी उनके टी टी इ बन ने का रेलवे ने रास्ता साफ़ कर दिया हैं इस सम्बन्ध में रेलवे बोर्ड चेयरमैन अश्विनी लोहानी ने पात्र जारी करदिया हैं,,Adult,Female,,Serious,,,audio_jump,11TtAIYNca5UJaOXkyJA-KK4xOvZGIhSk,13-00085-01.mp3
13-00086-06,./Audio/13-00086-06.mp3,वौइस् पहले रेलवे रिक्रूटमेंट बोर्ड की ओर से सीधी भारती निकालकर टी टी इ बनाया जाता हैं या परिचालन विभाग व वाणिज्य विभाग में कार्य करनेवाले च,,,Female,,,,,,1Na5gS9FAIywO0ooe2Y2xbR9Y5XdnpkRG,13-00086-06.mp3
