entity,frequency,unique_utterances,states,example_utt_ids
farmers,122,122,Bihar:36; West_bengal:1,01-09382-01; 01-01553-01; 01-03085-02; 01-11147-03; 02-13632-02
schools,95,95,Bihar:36; Jharkhand:2; Madhya_pradesh:5,01-01553-01; 01-09228-01; 02-19837-01; 01-00954-02; 01-05994-02
gram panchayat,83,83,Bihar:29; Rajasthan:2; Jharkhand:5; Madhya_pradesh:1,01-10228-03; 02-17229-01; 02-15359-01; 01-11185-01; 01-09341-02
healthcare workers,75,75,Bihar:27; Jharkhand:1; West_bengal:2,02-20425-01; 01-04555-03; 01-06627-01; 01-01442-01; 01-10481-02
hospitals,52,52,Bihar:15; Jharkhand:1; West_bengal:1,02-20425-01; 01-06627-01; 02-18753-01; 01-10481-02; 02-22114-01
electricity board,48,48,Bihar:15,02-17612-01; 01-08208-02; 01-04377-02; 02-22963-01; 02-17229-01
roads,31,31,Bihar:8; Rajasthan:1,01-01718-02; 02-12680-02; 13-00657-03; 13-00309-02; 01-01756-02
toilets,24,24,Bihar:5,01-08420-01; 01-10153-01; 01-03547-03; 01-02555-03; 01-09752-01
ration dealers,10,10,Rajasthan:1; Bihar:2,01-01736-03; 01-00757-02; 01-04665-03; 01-03599-02; 01-05559-02
handpumps,9,9,Bihar:1,01-02981-03; 01-04393-01; 01-02487-03; 02-13625-02; 01-01756-02
