utt_id,audio_path,reference,Accent,Age,Gender,Background,Sentiment,District,State,Other,audio_drive_id,audio_filename
13-00087-04,./Audio/13-00087-04.mp3,लिया है सी आर पी जी एफ में इक्कीसों छियासठ पदों आरोप नियुक्तियाँ होनी है होनी है सरकारी नौकरियों के ताजे विज्ञापन में,,,,,,,,audio_break,1mtmbzK2WZ3jWIL8D-Mv1iM5VA4D2PItS,13-00087-04.mp3
13-00094-02,./Audio/13-00094-02.mp3,वौइस् ट्रैफिक व्यवस्था को दुरुस्त कराने के लिए दरभंगा पुलिस ने एड लांच किया हैं पुलिस प्रसाशन आर टी ओ और डी टी ओ के माध्यम ऐसी इनमें,,,Female,,,Darbhanga,Bihar,,1lmrudQn96p1ft5Dkt9gj4RUj14nQY5o-,13-00094-02.mp3
13-00096-01,./Audio/13-00096-01.mp3,था गर इस तारीख तक नहीं हुई बारिश तो सुखा ग्रस्त घोषित होगा प्रदेश खबर हैं पटना ऐसी ऐसी बिहार के कृषिमंत्री प्रेम कुमार ने कहा है की,,Adult,Female,,Serious,,,,1HSe6NEYczISn9Jq_ggouIpClsIavoyPj,13-00096-01.mp3
13-00096-03,./Audio/13-00096-03.mp3,सामने सबसे बड़ी चुनौती हैं टी हैं लेकिन हम इसके लिए तैयार हैं मुख्या मंत्री नीतिश कुमार ने सचिवालय स्थित संवाद में डीजल अनुदान का किसानों के बैंक खाते में ऑनलाइन अंतरण कार्यक्रम का शुभारम्भ करते हुए कहा की,,Adult,Female,,Serious,,,,1uFxqHRVg4ujgmX8ds5ZGXkbtRVOFYymg,13-00096-03.mp3
13-00097-01,./Audio/13-00097-01.mp3,खबरें जी एस टी रिटर्न खबर हैं न्यू डेल्ही ऐसी जी एस टी रिटर्न की प्रक्रिया सरल बना कर बना कर कारोबारों को राहत देने की घोषणा करने के बाद के बाद सरकार एक ऐसा उपाय,,Adult,Female,Music,Happy,,New_delhi,audio_jump,1BtAjQil6i8okssCLH5DbYdXxtxuGzr5T,13-00097-01.mp3
13-00100-01,./Audio/13-00100-01.mp3,जिले सूखे की ओर बढ़ते चले जा रहे हैं इनका कहना हैं की अभी दो दिन ऐसी बारिश हो रही हैं जिससे लेकिन धन रोपाई के लिए इस बूंदा बूंदी बारिश ऐसी कोई फायदा नहीं,Bihari,Adult,Female,,Sad,,Bihar,audio_jump,1JMJ93eStQ63ArFyoReOwFinE0CvJgrWM,13-00100-01.mp3
13-00139-03,./Audio/13-00139-03.mp3,वौइस् ऐसी ट्रैफिक व्यवस्था को दुरुस्त कराने के लिए दरभंगा पुलिसने एक आप लांच किया है पुलिस प्रशासन आर टी ओ और डी टी ओ के माध्यम ऐसी इनमे,,,Female,,,Darbhanga,Bihar,,18a_uUXeLY6cBmPbsd7WsMHeSnsGrsQTL,13-00139-03.mp3
13-00143-03,./Audio/13-00143-03.mp3,का पीछा करते हुए दक्षिण अफ्रीकी टीम दूसरी पारी में दो सौ नब्बे रन आरोप आउट हो तो श्रोताओं मिलते है कुछ नई और खास ख़बरों के लिए तब तक बनने रहे मोबाइल वाणी के साथ धन्यवाद,Accent_unknown,Adult,Female,Music,Serious,,,audio_break,1MWg61-sWHEaweevCGGlYFF4I0egpHKTC,13-00143-03.mp3
13-00144-01,./Audio/13-00144-01.mp3,बिहार राज्य के मुंगरे जिला ऐसी जिला ऐसी विपिन कुमार मोबइलवाणी के माध्यम ऐसी ऐसी कहते हैं की बूंदा बूंदी बारिश ऐसी खुश,Bihari,Adult,Female,,,,Bihar,audio_jump,1a69L9O5eGRzHx2yZVbrETeT4pTgO_Ofy,13-00144-01.mp3
13-00144-04,./Audio/13-00144-04.mp3,हैं किसानों को हल्की बूंदा बूंदी ऐसी ज्यादा फायदा नहीं हो रहा हैं और यही वजह हैं की किसान अभी बारिश का इंतज़ार कर रहा हैं रहे हैं मानसून में हो रही बेरुखी की वजह ऐसी जिला,,Adult,Female,,Sad,,,,117NJFFBVMROTN-_NZgkqstfWGljXb1S-,13-00144-04.mp3
