alignment_id,gv_insight_id,utterance_ids,gv_evidence_summary,taxonomy_domain,taxonomy_theme,taxonomy_issue,taxonomy_consistency,translation_fidelity,insight_consistency,external_framework,external_framework_type,external_indicator_or_concept,external_definition,relationship_type,semantic_chain_status,mapping_justification,gv_can_support,gv_cannot_support,confidence,verification_status,audit_notes,final_status
ALIGN_001,INS_0072,01-09983-02; 02-17143-01,Citizens in Bhagalpur report scheduled feeder maintenance shutdown (Barari feeder) and frequent unannounced power cuts causing intermittent outages.,Energy & Rural Electrification,Electricity Supply & Power Grid Stability,"Frequent Power Outages, Low Voltage & Burnt Transformers",partially_consistent,consistent,partially_consistent,UN SDG,statistical_indicator,SDG 7.1.1,Proportion of population with access to electricity (percentage of households with an electricity connection). Custodian: World Bank / WHO.,contextual_relationship,minor_issue,"SDG 7.1.1 measures binary household electrification access. GV evidence provides qualitative operational context regarding grid reliability and load-shedding frequency, contrasting with static connection metrics.","Local incident reports of feeder downtime, qualitative accounts of supply intermittency in Bhagalpur.","Total proportion of population with electrical connection, district electrification rate, official meter counts.",medium,authoritative_source_verified,Utterance 01-09983-02 is a scheduled feeder maintenance announcement; 02-17143-01 is a citizen outage report. Merging them into 'burnt transformers' is partially consistent; alignment is valid as contextual operational data via 02-17143-01.,validated_with_caveat
ALIGN_002,INS_0050,01-05273-03; 01-05235-02,Citizens in Jamui report absence of medical doctors on duty at Agera Primary Health Centre (PHC) and illegal charges demanded at Sadar Hospital.,Health & Nutrition,Primary Healthcare Access & Facilities,Doctor Absenteeism & Essential Drug Shortages,partially_consistent,partially_consistent,partially_consistent,UN SDG,statistical_indicator,SDG 3.c.1,"Health worker density and distribution (physicians, nursing and midwifery personnel per 10,000 population). Custodian: WHO.",contextual_relationship,minor_issue,SDG 3.c.1 tracks macro health worker density from administrative payrolls. GV captures localized facility-level physical absence where sanctioned doctors are absent from assigned rural health posts.,"Eyewitness reports of doctor absence at Agera PHC on duty days, citizen grievance timestamps.","District health worker density per 10,000 population, formal payroll attendance records, state workforce totals.",medium,authoritative_source_verified,Utterance 01-05273-03 firmly supports doctor absence at Agera PHC. Utterance 01-05235-02 is about bribery/charging at Sadar hospital. Translation of 01-05273-03 included unstated extrapolation ('patients unable to receive treatment'). Relationship adjusted from narrower_concept to contextual_relationship.,validated_with_caveat
ALIGN_003,INS_0127,02-17203-01; 01-08604-01,Citizens in Gaya report newly constructed rural road cracking and developing severe structural fissures within 2-3 months of construction.,Rural Roads & Physical Connectivity,Road Connectivity & Bridge Infrastructure,"Dilapidated Roads, Potholes & Missing Culverts",partially_consistent,consistent,partially_consistent,UN SDG,statistical_indicator,SDG 9.1.1,Proportion of the rural population who live within 2 km of an all-season road (Rural Access Index). Custodian: World Bank / UNECE.,contextual_relationship,minor_issue,SDG 9.1.1 measures spatial proximity (2 km buffer) to all-season roads. GV captures premature structural degradation and asphalt cracking within 90 days that compromise nominal all-weather motorability.,"Post-commissioning road degradation reports, localized construction quality complaints in Gaya.","Spatial buffer population percentage (RAI denominator), total road network length in km.",medium,authoritative_source_verified,Grounding is fully supported by 02-17203-01 (road cracked in 2-3 months). Utterance 01-08604-01 concerns bus driver verification and GPS safety rather than physical road infrastructure. Validated with caveat based on 02-17203-01.,validated_with_caveat
ALIGN_004,INS_0143,01-06359-03,"Citizens in Barkakala village, Hazaribagh report Fair Price Shop dealer deducting 2 kg rice per ration card from entitled monthly quota despite formal complaints.",Governance & Social Entitlements,Public Distribution System (PDS) & Food Security,PDS Ration Under-weighing & Irregular Distribution,consistent,consistent,consistent,National Food Security Act (NFSA) / TPDS,statutory_entitlement,NFSA Section 3(1) Entitlement Delivery,Statutory entitlement of 5 kg foodgrains per person per month for priority households at subsidized prices under NFSA 2013.,narrower_concept,fully_consistent,NFSA statutory guidelines mandate 5 kg grain per person per month. Dealer under-weighing (2 kg/card deduction) is a direct micro-level operational failure of statutory entitlement delivery at the point of distribution.,"Specific Fair Price Shop dealer under-weighing reports (2 kg cut), village-level distribution grievance documentation.","District total grain lifting percentage, state food balance sheet, aggregate NFSA compliance rate.",high,authoritative_source_verified,"Perfect semantic chain. Utterance text, taxonomy issue, structured insight, statutory definition, and narrower_concept relationship align with complete precision.",validated
ALIGN_005,INS_0181,13-00685-03,Panchayat representatives in Bihar report inspection of MGNREGA worksites revealing absence of mandatory Citizen Information Boards (CIB).,Governance & Social Entitlements,Rural Employment Guarantee (MGNREGA),"MGNREGA Wage Delays, Job Cards & Work Allotment",inconsistent,consistent,inconsistent,MGNREGA Scheme Transparency Framework,administrative_requirement,MGNREGA Section 17 / Master Circular 7.1.3,"Mandatory proactive public disclosure through Citizen Information Boards at every worksite detailing estimates, sanctions, and labor muster.",narrower_concept,invalid_alignment,"The external mapping targets worksite transparency (CIB installation), which matches the utterance, but contradicts the assigned taxonomy issue ('Wage Delays, Job Cards & Work Allotment').","Worksite transparency inspection findings, missing information board reports.","Wage delay rates, job card issuance statistics, person-days generated.",low,authoritative_source_verified,"REJECTED: Severe semantic chain break. The utterance describes worksite transparency inspection, but was misclassified by upstream classifier into 'Wage Delays & Job Cards'. Mapping to CIB rules fits the utterance but violates the taxonomy issue.",rejected
ALIGN_006,INS_0028,01-05597-03,Smallholder farmers in Munger report severe deficit of promised agricultural electricity and canal/borewell water supply during peak crop season.,Agriculture & Allied Livelihoods,Irrigation & Agricultural Water,Irrigation Water Availability,consistent,consistent,consistent,Census of India 2011 Village Directory,census_variable,Census Village Amenity: Irrigation Sources,"Net Irrigated Area by Source (Canals, Tubewells, Wells, Tanks) in hectares recorded in District Census Handbooks.",contextual_relationship,fully_consistent,"Census Village Directory records physical asset presence (canals, tubewells) and net irrigated area. GV provides dynamic operational testimony regarding seasonal water non-delivery and pump energization deficits.","Farmer accounts of seasonal irrigation deficits, pump energization bottlenecks in Munger.","Net irrigated area in hectares, aquifer depth (m bgl), volumetric canal flow rates.",high,authoritative_source_verified,Solid semantic chain. Clear distinction between static census infrastructure existence and dynamic seasonal irrigation failure.,validated
ALIGN_007,INS_0003,13-00241-04,Community members in Madhubani report primary schools staffed by untrained Shiksha Mitra contract teachers unable to deliver quality foundational education.,Education & Learning,School Staffing & Basic Infrastructure,Teacher Shortage & Teacher Absenteeism,partially_consistent,consistent,partially_consistent,UN SDG,statistical_indicator,SDG 4.c.1,"Proportion of teachers with the minimum required qualifications, by education level (percentage receiving organized pedagogical training). Custodian: UNESCO-UIS.",contextual_relationship,minor_issue,SDG 4.c.1 tracks macro proportions of qualified teachers. GV captures community ground perspectives regarding the persistence of untrained contract teachers in local primary schools.,"Community testimony on untrained contract teacher deployment, parent observations on teaching quality.","Statewide percentage of certified teachers under RTE norms, administrative UDISE+ pupil-teacher ratios.",medium,authoritative_source_verified,"Taxonomy issue label emphasizes 'Shortage & Absenteeism', while evidence discusses teacher qualification/training. Relationship adjusted to contextual_relationship. Validated with caveat.",validated_with_caveat
ALIGN_008,INS_0149,01-04803-03,"Citizens in Sonepur, Saran report mandatory Aadhaar linkage enforcement by local offices causing administrative exclusion in violation of Supreme Court guidelines.",Governance & Social Entitlements,Local Governance & Administrative Redressal,"Aadhaar, Voter ID & Bank DBT Seeding Hurdles",consistent,consistent,consistent,UN SDG,statistical_indicator,SDG 1.3.1,Proportion of population covered by social protection floors/systems. Custodian: ILO.,contextual_relationship,fully_consistent,SDG 1.3.1 measures social protection floor coverage. GV captures administrative documentation friction (mandatory digital ID demands) that creates exclusionary barriers preventing access to social transfers.,"Citizen reports of administrative non-compliance and documentation barriers in Sonepur, Saran.","State social protection coverage rate, UIDAI Aadhaar saturation percentage, bank DBT authentication success rates.",high,authoritative_source_verified,Clear contextual relationship. Identity hurdles provide operational explanation for social protection exclusion.,validated
ALIGN_009,INS_0025,13-00416-04,"Citizens in Kharagpur, Munger report government schools with broken, foul-smelling toilets, defunct handpumps, and lack of clean drinking water for children.",Education & Learning,School Staffing & Basic Infrastructure,Teacher Shortage & Teacher Absenteeism,inconsistent,consistent,inconsistent,UN SDG,statistical_indicator,SDG 4.a.1(d),Proportion of schools with access to single-sex basic sanitation facilities. Custodian: UNESCO-UIS.,narrower_concept,invalid_alignment,"The external mapping targets school toilets (SDG 4.a.1), which matches the utterance text, but completely contradicts the assigned taxonomy issue ('Teacher Shortage & Teacher Absenteeism').","Facility-level toilet non-functionality, handpump breakdown reports in Kharagpur.","District percentage of schools with functional toilets, UDISE+ infrastructure statistics.",low,authoritative_source_verified,"REJECTED: Severe taxonomy contradiction. The utterance is an extensive grievance on school toilets and broken handpumps, but was misclassified by upstream classifier into 'Teacher Shortage & Teacher Absenteeism'. Mapping to SDG 4.a.1(d) breaks the semantic chain with the taxonomy issue.",rejected
ALIGN_010,INS_0001,13-00077-02; 13-00149-02,Platform broadcast recording containing IVR radio show sign-off and host thank-you announcements for Madhubani Mobile Vaani without civic grievances.,Platform & Conversational Media,Non-Substantive Media Audio,Modality: platform_broadcast_bumper,consistent,consistent,consistent,None,none,No Applicable Indicator,Non-developmental audio modality explicitly isolated from indicator alignment pipelines.,no_reliable_correspondence,fully_consistent,Platform broadcast media artifacts serve internal radio station operational functions and contain no civic grievance or socio-economic development construct. Mandatory refusal prevents semantic hallucination.,"Audio modality classification, radio broadcast operational metadata.","Any socio-economic development indicator, public service delivery evaluation.",high,authoritative_source_verified,Essential negative control case demonstrating verified architectural refusal to force hallucinated mappings on non-substantive voice recordings.,validated
