domain,frequency,unique_utterances,states,districts,example_utt_ids,example_transcripts
Community Affairs,851,851,New_delhi:2; Bihar:281; Jharkhand:17; Uttar_pradesh:3; Rajasthan:1; Madhya_pradesh:5; Maharashtra:8; West_bengal:2,Madhubani:1; Munger:5; Muzaffarpur:3; Samastipur:3; Jamui:2; Dhanbad:4; Lucknow:3; Dhalai:2; Bokaro:3; Kota:1; Darbhanga:1; Ramgarh:1; Satna:1; Nalanda:1,13-00292-02; 01-10463-03; 01-07493-01; 01-06584-01; 01-07605-02,[13-00087-04] लिया है सी आर पी जी एफ में इक्कीसों छियासठ पदों आरोप नियुक्तियाँ होनी है होनी है... | [13-00097-01] खबरें जी एस टी रिटर्न खबर हैं न्यू डेल्ही ऐसी जी एस टी रिटर्न की प्रक्रिया सरल ब... | [13-00100-01] जिले सूखे की ओर बढ़ते चले जा रहे हैं इनका कहना हैं की अभी दो दिन ऐसी बारिश हो रही...
Agriculture,122,122,Bihar:36; West_bengal:1,Dhalai:1,01-09382-01; 01-01553-01; 01-03085-02; 01-11147-03; 02-13632-02,[13-00096-01] था गर इस तारीख तक नहीं हुई बारिश तो सुखा ग्रस्त घोषित होगा प्रदेश खबर हैं पटना ऐ... | [13-00096-03] सामने सबसे बड़ी चुनौती हैं टी हैं लेकिन हम इसके लिए तैयार हैं मुख्या मंत्री नीतिश... | [13-00144-04] हैं किसानों को हल्की बूंदा बूंदी ऐसी ज्यादा फायदा नहीं हो रहा हैं और यही वजह हैं...
Governance & Social Entitlements,104,104,Bihar:34; Rajasthan:1; Jharkhand:7,Bhagalpur:1; Kota:1; Ramgarh:1; Patna:1; Buldhana:1,01-10228-03; 01-00324-03; 01-05034-01; 01-03786-01; 01-04219-01,[13-00252-06] नमस्कार चंपारण मोबइलवाणी ऐसी भागलपुर ऐसी कुबेर पांडे अभिनन्दन प्रखंड के हेतु पूज... | [13-00354-03] मधुबनी मोबाइल वाणी प्रखंड... | [13-00355-05] तो सतिश जी आप पंचायत के प्रतिनिधि हैं तो आप इसके बारे में क्या सोचते हैं सड़कों प...
Education,76,76,Bihar:29; Jharkhand:2; Madhya_pradesh:4,Madhubani:2,01-10183-01; 01-03625-01; 01-07004-03; 02-16956-01; 01-08405-03,[13-00241-03] के बहुत ऐसी बच्चे और महिलायें आज भी इस तकनीकी युग में भी अशिक्षित है हालाँकि परि... | [13-00241-05] साथ ही स्कूलों के जर्जर भवनों ऐसी हमेशा खतरा बना रहता है पठन पठन सामग्री का नहीं... | [13-00350-04] छात्रवृत्ति प्रशिक्षण करने वाले छात्राओं में कक्षा एक के एस टी में दीपक दीपिका क...
Infrastructure & Energy,72,72,Bihar:22; Rajasthan:1,Darbhanga:2; Kota:1,02-12827-01; 01-04471-02; 02-17612-01; 02-12680-02; 01-04377-02,[13-00094-02] वौइस् ट्रैफिक व्यवस्था को दुरुस्त कराने के लिए दरभंगा पुलिस ने एड लांच किया हैं ... | [13-00139-03] वौइस् ऐसी ट्रैफिक व्यवस्था को दुरुस्त कराने के लिए दरभंगा पुलिसने एक आप लांच किय... | [13-00346-01] पुलिस स्कीम की तलह को पुली का बाबा ने वालों की शिकायत बिना इज़ाज़त के काम करने आरो...
Health & Nutrition,68,68,Bihar:24; Jharkhand:1; West_bengal:2,Dhanbad:1,02-20425-01; 01-04555-03; 01-06627-01; 01-01442-01; 01-10481-02,[13-00287-01] मधुबनी मोबाइल वाणी के लिए खजौली मधुबनी ऐसी डॉक्टर विनय सराव अधिकारी स्वस्थ विभाग... | [13-00309-02] शहर के चरणबद्ध तरीकें ऐसी अतिक्रमण हटाया जायेगा प्रथम चरण में एक नंबर ट्रैफिक ऐस... | [13-00414-04] की लोगों का जीना शराब हो गया हैं वायु प्रदूषण बढ़ने के कारण आज गंभीर बीमारी लोगों...
Water & Sanitation,66,66,Bihar:15; West_bengal:2; Maharashtra:1; Madhya_pradesh:1,,01-08420-01; 01-10153-01; 01-04109-02; 01-08208-02; 01-09228-01,[13-00147-01] उतर्वाहिनी के गंगा के जल भक्त लेकर शिवालयो आरोप अर्पित करते है करते है इन मंदिरो... | [13-00404-01] माँ मुझे मैथ मार ओह माँ मुझे मैथ मार तेरे आंगन की तुलसी बन में बढ़ती जाऊंगी पूजा ... | [13-00616-02] काम में जलापूर्ति नहीं होने के बाद लोगों को पानी के लिए वैकल्पिक...
Employment & Livelihoods,61,61,Bihar:14; Jharkhand:4; West_bengal:1,Ranchi:3,01-01575-01; 02-15393-01; 01-05040-02; 02-21994-01; 01-07494-03,[13-00345-06] जमुई ठेकेदारों को बगैर इज़ाज़त के काम नहीं करने की चेतावनी दी है इसके इलावा... | [13-00364-04] इस दीपावली के पावन पर्व की ढेर सारी शुभकामनाएं धन्यवाद दोस्तों मैं अरविन्द सिंह ... | [01-00570-01] जन मिलते ही काम शुरू कर दिया जायेगा निराला ने कहा की राज्य सरकार आदिवासी के विका...
Community & Civic Engagement,47,47,Madhya_pradesh:1; Bihar:10; Maharashtra:1,Ramgarh:1,01-00049-03; 01-03141-03; 01-00581-03; 01-00277-01; 02-20651-01,[13-00171-01] पसंदीदा कार्यक्रम ज़रा हट के... | [13-00238-01] आपको याद हैं न पिछले बार की तरह इस बार भी बेहतरीन प्रतिक्रिया देने वाले श्रोता क... | [13-00674-03] इसलिए जानना चाहतें हैं की वो एक निधि कार्यक्रम में आये तो उन्होंने ने कहा की नीत...
Public Services & Civic Issues,25,25,Bihar:7; Jharkhand:1; Madhya_pradesh:1,,01-03463-02; 01-03675-01; 13-00227-03; 01-01843-01; 01-03716-03,[13-00227-03] ललन भाई तुम फिर शुरू हो गए जी अच्छा बताओ की क्या परेशानी है... | [13-00575-03] जनताओं ऐसी मिलते रहे है ट्रेटा सतयुग और द्वापरयुगों में भी राजा भेष बदल कर जनता ... | [01-01636-01] मिथान्पुरा और जिला की गिरिडीह ब्लॉक में महिला समूह गठन में क्या क्या दिक्कतें आत...
Housing & Habitat,1,1,Bihar:1,,02-20363-01,[02-20363-01] अच्छा खासा किराया देने के बावजूद बहुमंजिल इमारतों में भी इन्हें जगह नहीं मिल रही...
Disaster & Climate Vulnerability,1,1,,,02-21356-01,[02-21356-01] चुल्लू भर नंबर आते है उसी में डूबकर मर जाते है अरे यार तू न एकदम अच्छी वाली फ्रे...
